version_id,model_code,name_en,name_ar,WIS,CRG,HRM,DSC,EMP,summary_ar,LOVE,ACHV,JOY,FREE,SAFE,HLTH,DIGN,JUST,FRND,LEARN,SPIR,FINC,RECO,ADVN,ARTS,FUN,COMM,AMBT,GRAT,BALN
v2,UMMA,Umm Ayman Inspired,أم أيمن,,,,,,ولاء عميق واهتمام حقيقي بالروابط الإنسانية.,0.90,0.70,0.75,0.65,0.70,0.65,0.85,0.80,0.80,0.70,0.95,0.60,0.65,0.60,0.60,0.65,0.85,0.75,0.90,0.80
v2,ANAS,Anas ibn Malik Inspired,أنس بن مالك,,,,,,روح خفيفة الظل تجمع بين الخدمة والوفاء وحسن المعاملة.,0.85,0.75,0.85,0.65,0.70,0.65,0.80,0.75,0.90,0.80,0.85,0.60,0.65,0.60,0.60,0.80,0.85,0.75,0.90,0.80
v2,IBNM,Abdullah ibn Masud Inspired,عبد الله بن مسعود,,,,,,شخصية علمية دقيقة تميل للتعمق والفهم.,0.75,0.80,0.65,0.70,0.70,0.65,0.85,0.85,0.70,0.98,0.90,0.60,0.70,0.60,0.55,0.60,0.80,0.85,0.85,0.75
v2,HUDH,Hudhayfah ibn Al-Yaman Inspired,حذيفة بن اليمان,,,,,,وعي عميق بالمسؤولية وحرص على الأمان والثبات.,0.70,0.80,0.60,0.75,0.85,0.65,0.90,0.90,0.70,0.85,0.90,0.60,0.65,0.70,0.50,0.55,0.80,0.85,0.80,0.75
v2,RUQY,Ruqayyah bint Muhammad Inspired,رقية بنت محمد,,,,,,هدوء ورفق مع حضور عاطفي ثابت.,0.90,0.70,0.70,0.60,0.70,0.65,0.85,0.80,0.85,0.70,0.95,0.60,0.60,0.55,0.60,0.65,0.80,0.70,0.90,0.80
v2,UMMK,Umm Kulthum bint Muhammad Inspired,أم كلثوم بنت محمد,,,,,,توازن بين اللطف والقوة الداخلية.,0.90,0.70,0.70,0.60,0.70,0.65,0.85,0.80,0.85,0.70,0.95,0.60,0.60,0.55,0.60,0.65,0.80,0.70,0.90,0.80
v2,ABHR,Abu Hurairah Inspired,أبو هريرة,,,,,,حب للتعلم ونقل المعرفة بروح إيجابية.,0.75,0.75,0.75,0.65,0.65,0.60,0.80,0.75,0.80,0.95,0.90,0.55,0.65,0.60,0.55,0.70,0.80,0.80,0.85,0.75
v2,UMMD,Umm Darda Inspired,أم الدرداء,,,,,,حكمة واتزان يجمعان بين التعلم والعطاء.,0.80,0.75,0.70,0.70,0.70,0.65,0.85,0.85,0.75,0.90,0.95,0.60,0.65,0.60,0.60,0.65,0.85,0.75,0.90,0.85
v2,MIQD,Al-Miqdad ibn Amr Inspired,المقداد بن عمرو,,,,,,مبادرة وشجاعة مع التزام قوي بالمواقف.,0.70,0.85,0.65,0.80,0.75,0.75,0.85,0.85,0.70,0.75,0.80,0.65,0.70,0.90,0.50,0.60,0.80,0.90,0.75,0.75
v2,SHIF,Al-Shifa bint Abdullah Inspired,الشفاء بنت عبد الله,,,,,,قيادة معرفية تهتم بالتعليم وخدمة المجتمع.,0.80,0.85,0.70,0.70,0.75,0.70,0.85,0.85,0.75,0.95,0.90,0.65,0.75,0.65,0.65,0.65,0.85,0.85,0.85,0.80
v2,ABDH,Abdullah ibn Umar Inspired,عبد الله بن عمر,,,,,,انضباط شخصي عالٍ مع تمسك بالقيم والتوازن.,0.80,0.85,0.65,0.70,0.80,0.70,0.90,0.90,0.75,0.85,0.95,0.70,0.65,0.70,0.55,0.55,0.85,0.85,0.90,0.80
