version_id,scenario_code,scenario_set_code,order_index,scenario_text_en,scenario_text_ar
v2,D12_28,deep_12,28,A coworker keeps interrupting your focus time.,زميل يقاطع وقت تركيزك بشكل متكرر.
v2,D12_29,deep_12,29,A friend always cancels plans at the last moment.,صديق يلغي المواعيد دائما في آخر لحظة.
v2,D12_30,deep_12,30,Your group wants expensive outings that exceed your budget.,مجموعة أصدقائك تريد خروجات مكلفة تتجاوز ميزانيتك.
v2,D12_31,deep_12,31,A friend shares your private story with others.,صديق يشارك قصتك الخاصة مع الآخرين.
v2,D12_32,deep_12,32,You feel emotionally drained by one-sided friendships.,تشعر بالاستنزاف من صداقات أحادية الاتجاه.
v2,D12_33,deep_12,33,A stranger asks you for help while you are in a hurry.,شخص غريب يطلب مساعدتك وأنت مستعجل.
v2,D12_34,deep_12,34,You witness someone being mocked publicly.,تشاهد شخصا يتعرض للسخرية أمام الناس.
v2,D12_35,deep_12,35,A service worker speaks to you harshly by mistake.,موظف خدمة يتحدث معك بحدة بالخطأ.
v2,D12_36,deep_12,36,You see litter thrown in a shared neighborhood space.,ترى شخصا يرمي القمامة في مكان مشترك بالحي.
v2,D12_37,deep_12,37,You have recurring headaches but keep postponing checkups.,لديك صداع متكرر لكنك تؤجل الفحوصات.
v2,D12_38,deep_12,38,Your sleep is poor because of late-night scrolling.,نومك مضطرب بسبب التصفح الليلي الطويل.
v2,D12_39,deep_12,39,You are under stress and start skipping meals.,تحت ضغط مستمر وبدأت تتجاوز وجباتك.
v2,D12_40,deep_12,40,You feel burnout signs but fear slowing down.,تشعر بعلامات احتراق نفسي لكنك تخاف التخفيف.
v2,D12_41,deep_12,41,A major decision has uncertain outcomes and no perfect data.,قرار مصيري أمامك ونتائجه غير مؤكدة ولا توجد بيانات كاملة.
v2,D12_42,deep_12,42,Two good opportunities appear at the same time.,فرصتان جيدتان ظهرتا في الوقت نفسه.
v2,D12_43,deep_12,43,You must choose between a stable path and a meaningful risk.,تحتاج أن تختار بين طريق مستقر ومجازفة ذات معنى.
v2,D12_44,deep_12,44,You are invited to a project outside your expertise.,تدعى لمشروع خارج نطاق خبرتك.
v2,D12_45,deep_12,45,"At day end, unfinished tasks keep you mentally heavy.",في نهاية اليوم، المهام غير المنجزة تثقل ذهنك.
v2,D12_46,deep_12,46,You compare yourself with others and feel behind.,تقارن نفسك بالآخرين وتشعر أنك متأخر.
v2,D12_47,deep_12,47,You need to reset your week after several chaotic days.,تحتاج لإعادة ضبط أسبوعك بعد أيام فوضوية.
v2,D12_48,deep_12,48,You want a sustainable routine you can actually maintain.,تريد روتينا مستداما يمكنك الالتزام به فعلا.
