version_id,model_code,name_en,name_ar,LOVE,ACHV,JOY,FREE,SAFE,HLTH,DIGN,JUST,FRND,LEARN,SPIR,FINC,RECO,ADVN,ARTS,FUN,COMM,AMBT,GRAT,BALN,summary_ar
v2,FATM,Fatimah bint Muhammad Inspired,فاطمة بنت محمد,0.95,0.75,0.70,0.60,0.75,0.70,0.90,0.85,0.85,0.75,0.95,0.60,0.65,0.55,0.60,0.60,0.85,0.75,0.95,0.85,رحمة عميقة وتوازن بين العائلة والقيم الداخلية.
v2,KHDJ,Khadijah bint Khuwaylid Inspired,خديجة بنت خويلد,0.90,0.90,0.70,0.75,0.85,0.70,0.90,0.85,0.85,0.80,0.95,0.95,0.75,0.70,0.60,0.65,0.90,0.90,0.90,0.85,قيادة داعمة تجمع بين الاستقرار المالي والرؤية والثقة.
v2,ASMA,Asma bint Abi Bakr Inspired,أسماء بنت أبي بكر,0.80,0.85,0.70,0.80,0.70,0.75,0.85,0.80,0.80,0.75,0.85,0.70,0.70,0.85,0.60,0.65,0.85,0.90,0.85,0.75,شخصية شجاعة تتحمل المسؤولية بروح عملية.
v2,MUAB,Musab ibn Umair Inspired,مصعب بن عمير,0.75,0.85,0.65,0.85,0.65,0.70,0.80,0.80,0.75,0.90,0.95,0.60,0.75,0.75,0.60,0.65,0.85,0.85,0.80,0.75,شخصية مؤثرة تجمع بين التعلم والالتزام والقيادة.
v2,UMMS,Umm Salama Inspired,أم سلمة,0.85,0.75,0.70,0.70,0.75,0.70,0.85,0.85,0.80,0.85,0.95,0.65,0.70,0.60,0.65,0.65,0.85,0.75,0.90,0.85,حكمة واتزان في اتخاذ القرارات مع حضور عاطفي ناضج.
v2,SAAD,Saad ibn Abi Waqqas Inspired,سعد بن أبي وقاص,0.70,0.90,0.65,0.75,0.75,0.75,0.85,0.85,0.70,0.75,0.80,0.70,0.75,0.90,0.50,0.60,0.80,0.95,0.75,0.75,روح قيادية عملية تميل للحسم والتنفيذ.
v2,ZAIN,Zainab bint Jahsh Inspired,زينب بنت جحش,0.90,0.75,0.70,0.65,0.70,0.65,0.85,0.80,0.75,0.75,0.90,0.70,0.70,0.60,0.60,0.60,0.85,0.75,0.95,0.80,عطاء وكرم مع التزام واضح بالقيم.
v2,SUFY,Safiyyah bint Huyayy Inspired,صفية بنت حيي,0.85,0.70,0.70,0.65,0.70,0.65,0.85,0.80,0.75,0.75,0.90,0.60,0.65,0.60,0.60,0.65,0.80,0.75,0.85,0.75,شخصية متزنة تجمع بين الكرامة والمرونة.
v2,ABTH,Abu Talha Inspired,أبو طلحة,0.85,0.85,0.65,0.70,0.75,0.75,0.85,0.80,0.75,0.70,0.85,0.75,0.70,0.85,0.50,0.60,0.80,0.90,0.80,0.75,شخصية عملية سخية تميل للمبادرة والعمل.
v2,UMMA,Umm Ayman Inspired,أم أيمن,0.90,0.70,0.75,0.65,0.70,0.65,0.85,0.80,0.80,0.70,0.95,0.60,0.65,0.60,0.60,0.65,0.85,0.75,0.90,0.80,ولاء عميق واهتمام حقيقي بالروابط الإنسانية.
v2,ANAS,Anas ibn Malik Inspired,أنس بن مالك,0.85,0.75,0.85,0.65,0.70,0.65,0.80,0.75,0.90,0.80,0.85,0.60,0.65,0.60,0.60,0.80,0.85,0.75,0.90,0.80,روح خفيفة الظل تجمع بين الخدمة والوفاء وحسن المعاملة.
v2,IBNM,Abdullah ibn Masud Inspired,عبد الله بن مسعود,0.75,0.80,0.65,0.70,0.70,0.65,0.85,0.85,0.70,0.98,0.90,0.60,0.70,0.60,0.55,0.60,0.80,0.85,0.85,0.75,شخصية علمية دقيقة تميل للتعمق والفهم.
v2,HUDH,Hudhayfah ibn Al-Yaman Inspired,حذيفة بن اليمان,0.70,0.80,0.60,0.75,0.85,0.65,0.90,0.90,0.70,0.85,0.90,0.60,0.65,0.70,0.50,0.55,0.80,0.85,0.80,0.75,وعي عميق بالمسؤولية وحرص على الأمان والثبات.
v2,RUQY,Ruqayyah bint Muhammad Inspired,رقية بنت محمد,0.90,0.70,0.70,0.60,0.70,0.65,0.85,0.80,0.85,0.70,0.95,0.60,0.60,0.55,0.60,0.65,0.80,0.70,0.90,0.80,هدوء ورفق مع حضور عاطفي ثابت.
v2,UMMK,Umm Kulthum bint Muhammad Inspired,أم كلثوم بنت محمد,0.90,0.70,0.70,0.60,0.70,0.65,0.85,0.80,0.85,0.70,0.95,0.60,0.60,0.55,0.60,0.65,0.80,0.70,0.90,0.80,توازن بين اللطف والقوة الداخلية.
v2,ABHR,Abu Hurairah Inspired,أبو هريرة,0.75,0.75,0.75,0.65,0.65,0.60,0.80,0.75,0.80,0.95,0.90,0.55,0.65,0.60,0.55,0.70,0.80,0.80,0.85,0.75,حب للتعلم ونقل المعرفة بروح إيجابية.
v2,UMMD,Umm Darda Inspired,أم الدرداء,0.80,0.75,0.70,0.70,0.70,0.65,0.85,0.85,0.75,0.90,0.95,0.60,0.65,0.60,0.60,0.65,0.85,0.75,0.90,0.85,حكمة واتزان يجمعان بين التعلم والعطاء.
v2,MIQD,Al-Miqdad ibn Amr Inspired,المقداد بن عمرو,0.70,0.85,0.65,0.80,0.75,0.75,0.85,0.85,0.70,0.75,0.80,0.65,0.70,0.90,0.50,0.60,0.80,0.90,0.75,0.75,مبادرة وشجاعة مع التزام قوي بالمواقف.
v2,SHIF,Al-Shifa bint Abdullah Inspired,الشفاء بنت عبد الله,0.80,0.85,0.70,0.70,0.75,0.70,0.85,0.85,0.75,0.95,0.90,0.65,0.75,0.65,0.65,0.65,0.85,0.85,0.85,0.80,قيادة معرفية تهتم بالتعليم وخدمة المجتمع.
v2,ABDH,Abdullah ibn Umar Inspired,عبد الله بن عمر,0.80,0.85,0.65,0.70,0.80,0.70,0.90,0.90,0.75,0.85,0.95,0.70,0.65,0.70,0.55,0.55,0.85,0.85,0.90,0.80,انضباط شخصي عالٍ مع تمسك بالقيم والتوازن.
